id,genre_id,movie_id
1,19,1
2,1,2
3,4,2
4,7,2
5,29,3
6,17,3
7,19,4
8,1,5
9,5,6
10,1,6
11,12,6
12,1,7
13,7,8
14,10,9
15,5,10
16,11,10
17,5,11
18,1,12
19,12,12
20,1,13
21,1,14
22,1,15
23,5,16
24,1,16
25,1,17
26,16,17
27,4,18
28,19,18
29,10,19
30,19,20
31,16,21
32,1,21
33,7,21
34,4,22
35,5,23
36,1,23
37,7,24
38,15,25
39,2,25
40,15,26
41,13,27
42,7,27
43,4,27
44,11,28
45,1,29
46,10,30
47,6,31
48,1,31
49,2,31
50,15,32
51,15,33
52,6,33
53,15,34
54,19,34
55,6,34
56,15,35
57,15,36
58,19,36
59,2,36
60,11,37
61,1,37
62,10,38
63,5,39
64,1,40
65,5,41
66,11,41
67,4,42
68,11,42
69,1,43
70,13,44
71,4,44
72,7,44
73,16,45
74,1,45
75,11,46
76,1,46
77,1,47
78,1,48
79,1,49
80,10,50
81,1,51
82,10,52
83,7,53
84,11,54
85,1,54
86,1,55
87,10,56
88,1,57
89,11,57
90,4,58
91,7,58
92,1,59
93,1,60
94,19,61
95,6,61
96,2,61
97,13,61
98,18,61
99,7,62
100,14,63
101,19,63
102,1,63
103,19,64
104,7,65
105,4,65
106,1,66
107,4,67
108,2,68
109,4,68
110,7,68
111,15,69
112,1,69
113,12,69
114,18,69
115,6,70
116,1,70
117,18,70
118,4,71
119,2,72
120,19,72
121,15,73
122,6,73
123,12,73
124,2,73
125,4,74
126,17,75
127,1,75
128,15,76
129,19,77
130,7,77
131,5,78
132,1,78
133,15,79
134,19,79
135,6,79
136,1,80
137,4,81
138,7,81
139,1,81
140,1,82
141,1,83
142,5,83
143,1,84
144,5,84
145,18,85
146,13,85
147,5,85
148,19,86
149,11,86
150,1,87
151,14,88
152,19,88
153,1,89
154,19,89
155,16,89
156,10,90
157,18,91
158,19,91
159,19,92
160,19,93
161,7,93
162,19,94
163,19,95
164,16,96
165,7,96
166,1,97
167,4,97
168,13,97
169,13,98
170,4,98
171,11,99
172,5,99
173,13,100
174,7,100
175,5,101
176,11,101
177,19,102
178,18,103
179,7,104
180,4,104
181,15,105
182,11,105
183,19,106
184,16,106
185,6,106
186,16,107
187,4,107
188,7,107
189,16,108
190,11,108
191,1,109
192,5,109
193,11,109
194,19,110
195,15,111
196,19,112
197,1,112
198,7,113
199,1,113
200,4,114
201,2,114
202,19,115
203,6,115
204,29,116
205,19,117
206,10,118
207,18,119
208,19,119
209,2,120
210,19,120
211,1,121
212,1,122
213,11,123
214,19,123
215,19,124
216,18,124
217,19,125
218,6,125
219,7,125
220,15,126
221,19,126
222,6,126
223,1,127
224,4,128
225,4,129
226,11,129
227,19,130
228,14,130
229,13,131
230,7,131
231,3,131
232,15,132
233,1,133
234,7,133
235,13,134
236,7,134
237,4,135
238,19,136
239,7,136
